StationDescription,FieldActivityId,BiologicalEventId,Source,SampleDate,Latitude,Longitude,SiteType,Station,TotalDepth,SampleTime,SampleReplicate,IBIParameter,IBIValue
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",184420,49126,"ODU/BEL",3/13/1985,37.79122,-76.17546,,"CB5.4",33,16:47:00,"S1"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",184420,49127,"ODU/BEL",3/13/1985,37.79122,-76.17546,,"CB5.4",33,16:47:00,"S2"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",184420,49128,"ODU/BEL",3/13/1985,37.79122,-76.17546,,"CB5.4",33,16:47:00,"S3"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185098,49804,"ODU/BEL",6/26/1985,37.79122,-76.17546,,"CB5.4",32,11:10:00,"S1"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185098,49805,"ODU/BEL",6/26/1985,37.79122,-76.17546,,"CB5.4",32,11:10:00,"S2"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185098,49806,"ODU/BEL",6/26/1985,37.79122,-76.17546,,"CB5.4",32,11:10:00,"S3"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","GRAND_SCORE",1.89
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_CARN_OMN",19.93
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_CARN_OMN",28.5
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_CARN_OMN",57.14
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_DEPO",0
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PI_ABUND",14.29
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PI_ABUND",19.93
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PI_ABUND",71.5
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PI_BIO",9.09
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PI_BIO",25
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PI_BIO",80
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PS_ABUND",14.25
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PS_ABUND",60.14
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PS_ABUND",71.43
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PS_BIO",10
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PS_BIO",25
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","PCT_PS_BIO",81.82
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","SW",1.15
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","SW",1.37
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","SW",2.52
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOT_ABUND",286
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOT_ABUND",399
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOT_ABUND",400
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOT_BIOMASS_G",0.23
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOT_BIOMASS_G",0.57
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOT_BIOMASS_G",0.63
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOTAL_SCORE",1
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOTAL_SCORE",1.67
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50260,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S1","TOTAL_SCORE",3
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50261,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S2"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",185554,50262,"ODU/BEL",9/17/1985,37.79122,-76.17546,,"CB5.4",32,15:35:00,"S3"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186205,50910,"ODU/BEL",12/16/1985,37.79122,-76.17546,,"CB5.4",33,14:30:00,"S1"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186205,50911,"ODU/BEL",12/16/1985,37.79122,-76.17546,,"CB5.4",33,14:30:00,"S2"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186205,50912,"ODU/BEL",12/16/1985,37.79122,-76.17546,,"CB5.4",33,14:30:00,"S3"
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","ASPT_MOD",4.8
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","ASPT_MOD_R",4.9
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","BECK",6
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","BECK_R",4
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","DIPTERA_TAXA_CNT",3
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","DIPTERA_TAXA_CNT_R",2
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPHEMEROPTERA_TAXA_CNT",2
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPHEMEROPTERA_TAXA_CNT_R",2
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPT_TAXA_ABUND",40
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPT_TAXA_ABUND_R",13
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPT_TAXA_COUNT",5
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPT_TAXA_COUNT_NO_TOL",5
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPT_TAXA_COUNT_NO_TOL_R",5
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","EPT_TAXA_COUNT_R",5
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","FBI",6.02
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","FBI_R",6.21
"(Tidal) Central Chesapeake Bay (Deep Main Channel)",186694,51399,"ODU/BEL",3/30/1986,37.79122,-76.17546,,"CB5.4",34,13:40:00,"S2","FSW",1.4996
